Codepoint	Characters	Substitution	GlyphName
0xe200	!!	ligature	exclam_exclam.liga
0xe201	!=	ligature	exclam_equal.liga
0xe202	!==	ligature	exclam_equal_equal.liga
0xe203	#!	ligature	numbersign_exclam.liga
0xe204	##	ligature	numbersign_numbersign.liga
0xe205	###	ligature	numbersign_numbersign_numbersign.liga
0xe206	####	ligature	numbersign_numbersign_numbersign_numbersign.liga
0xe207	#(	ligature	numbersign_parenleft.liga
0xe208	#=	ligature	numbersign_equal.liga
0xe209	#?	ligature	numbersign_question.liga
0xe20a	#[	ligature	numbersign_bracketleft.liga
0xe20b	#_	ligature	numbersign_underscore.liga
0xe20c	#_(	ligature	numbersign_underscore_parenleft.liga
0xe20d	#{	ligature	numbersign_braceleft.liga
0xe20e	$>	ligature	dollar_greater.liga
0xe20f	%%	ligature	percent_percent.liga
0xe210	&&	ligature	ampersand_ampersand.liga
0xe211	**	ligature	asterisk_asterisk.liga
0xe212	***	ligature	asterisk_asterisk_asterisk.liga
0xe213	*/	ligature	asterisk_slash.liga
0xe214	*>	ligature	asterisk_greater.liga
0xe215	++	ligature	plus_plus.liga
0xe216	+++	ligature	plus_plus_plus.liga
0xe217	+>	ligature	plus_greater.liga
0xe218	--	ligature	hyphen_hyphen.liga
0xe219	---	ligature	hyphen_hyphen_hyphen.liga
0xe21a	-->	ligature	hyphen_hyphen_greater.liga
0xe21b	-<	ligature	hyphen_less.liga
0xe21c	-<<	ligature	hyphen_less_less.liga
0xe21d	->	ligature	hyphen_greater.liga
0xe21e	->>	ligature	hyphen_greater_greater.liga
0xe21f	-|	ligature	hyphen_bar.liga
0xe220	-~	ligature	hyphen_asciitilde.liga
0xe221	.-	ligature	period_hyphen.liga
0xe222	..	ligature	period_period.liga
0xe223	...	ligature	period_period_period.liga
0xe224	..<	ligature	period_period_less.liga
0xe225	..=	ligature	period_period_equal.liga
0xe226	.=	ligature	period_equal.liga
0xe227	.?	ligature	period_question.liga
0xe228	/*	ligature	slash_asterisk.liga
0xe229	//	ligature	slash_slash.liga
0xe22a	///	ligature	slash_slash_slash.liga
0xe22b	/=	ligature	slash_equal.liga
0xe22c	/==	ligature	slash_equal_equal.liga
